lat,lng,altitude-meters,distance-meters,distance-miles
30.223723,-97.764012,198.65,8223.38,5.1098
30.223847,-97.764195,200.09,8245.71,5.1236
30.223960,-97.764331,201.05,8263.81,5.1349
30.224071,-97.764476,201.53,8282.49,5.1465
30.224191,-97.764649,201.53,8303.81,5.1597
30.224339,-97.764854,202.49,8329.51,5.1757
30.224465,-97.765034,203.94,8352.82,5.1902
30.224616,-97.765243,203.94,8377.97,5.2058
30.224716,-97.765399,202.98,8396.58,5.2174
30.224854,-97.765594,202.98,8420.73,5.2324
30.224985,-97.765784,203.46,8444.00,5.2469
30.225117,-97.765967,203.46,8466.94,5.2611
30.225249,-97.766148,203.94,8489.66,5.2752
30.225393,-97.766359,203.94,8515.50,5.2913
30.225495,-97.766514,203.94,8534.31,5.3030
30.225588,-97.766666,203.46,8552.09,5.3140
30.225712,-97.766852,203.94,8574.69,5.3281
30.225807,-97.767000,203.94,8592.29,5.3390
30.225966,-97.767227,205.86,8620.26,5.3564
30.226080,-97.767398,206.34,8640.93,5.3692
30.226186,-97.767567,205.86,8660.95,5.3817
30.226302,-97.767777,205.38,8684.87,5.3965
30.226386,-97.767962,203.46,8704.91,5.4090
30.226477,-97.768154,202.49,8725.95,5.4221
30.226562,-97.768343,203.46,8746.35,5.4347
30.226654,-97.768530,206.82,8767.05,5.4476
30.226743,-97.768741,207.30,8789.68,5.4617
30.226843,-97.768911,209.22,8809.45,5.4739
30.226877,-97.768977,209.22,8816.77,5.4785
30.227025,-97.769063,211.15,8835.63,5.4902
30.227148,-97.769038,211.63,8849.52,5.4988
30.227342,-97.768954,213.07,8872.57,5.5132
30.227438,-97.768892,212.59,8884.74,5.5207
30.227558,-97.768785,212.59,8901.55,5.5312
30.227664,-97.768709,212.11,8915.40,5.5398
30.227790,-97.768629,211.63,8931.32,5.5497
30.227921,-97.768552,211.15,8947.79,5.5599
30.228034,-97.768473,210.19,8962.47,5.5690
30.228168,-97.768392,207.78,8979.18,5.5794
30.228291,-97.768291,206.82,8996.69,5.5903
30.228402,-97.768214,206.34,9010.47,5.5988
30.228515,-97.768134,205.86,9025.23,5.6080
30.228710,-97.768025,205.86,9049.15,5.6229
30.228902,-97.767913,205.38,9073.06,5.6377
30.229065,-97.767817,203.94,9093.30,5.6503
30.229243,-97.767691,202.98,9116.60,5.6648
30.229389,-97.767589,202.49,9135.48,5.6765
30.229579,-97.767472,200.57,9159.30,5.6913
30.229734,-97.767380,200.57,9178.72,5.7034
30.229871,-97.767272,201.05,9197.00,5.7147
30.230003,-97.767167,201.05,9214.95,5.7259
30.230129,-97.767078,201.05,9231.65,5.7363
30.230245,-97.767005,200.57,9245.97,5.7452
30.230337,-97.766951,201.05,9257.33,5.7522
30.230493,-97.766894,202.01,9275.71,5.7637
30.230643,-97.766792,202.01,9295.14,5.7757
30.230740,-97.766742,202.49,9306.85,5.7830
30.230856,-97.766675,203.46,9321.40,5.7920
30.230992,-97.766568,203.46,9339.74,5.8034
30.231129,-97.766474,203.94,9357.04,5.8142
30.231257,-97.766377,205.38,9373.94,5.8247
30.231391,-97.766300,206.34,9390.47,5.8350
30.231537,-97.766224,205.86,9408.28,5.8460
30.231665,-97.766190,205.38,9422.93,5.8551
30.231835,-97.766038,203.46,9446.94,5.8701
30.231908,-97.765980,202.98,9456.71,5.8761
30.232048,-97.765878,200.09,9475.01,5.8875
30.232181,-97.765776,196.73,9492.69,5.8985
30.232258,-97.765747,196.25,9501.61,5.9040
30.232469,-97.765668,193.84,9526.28,5.9194
30.232575,-97.765637,192.40,9538.37,5.9269
30.232705,-97.765522,191.44,9556.76,5.9383
30.232853,-97.765432,191.92,9575.25,5.9498
30.232981,-97.765326,192.40,9592.95,5.9608
30.233092,-97.765250,192.88,9607.30,5.9697
30.233182,-97.765190,193.36,9618.82,5.9769
30.233279,-97.765130,193.84,9631.07,5.9845
30.233352,-97.765092,193.84,9639.95,5.9900
30.233608,-97.764927,194.80,9672.46,6.0102
30.233646,-97.764909,194.32,9677.01,6.0130
30.233832,-97.764744,192.88,9703.05,6.0292
30.233978,-97.764690,190.96,9719.84,6.0396
30.234138,-97.764596,190.00,9739.75,6.0520
30.234233,-97.764537,189.04,9751.77,6.0595
30.234380,-97.764438,188.08,9770.59,6.0712
30.234524,-97.764370,187.11,9787.97,6.0820
30.234660,-97.764294,186.63,9804.72,6.0924
30.234763,-97.764234,186.63,9817.45,6.1003
30.234890,-97.764140,187.11,9834.17,6.1107
30.235057,-97.764038,186.63,9855.21,6.1237
30.235204,-97.763939,186.63,9874.07,6.1355
30.235367,-97.763848,185.67,9894.15,6.1479
30.235488,-97.763771,184.71,9909.52,6.1575
30.235629,-97.763671,185.19,9927.87,6.1689
30.235737,-97.763584,184.71,9943.73,6.1787
30.235887,-97.763480,184.23,9961.86,6.1900
30.236065,-97.763358,183.27,9984.80,6.2043
30.236225,-97.763257,183.27,10005.09,6.2169
30.236385,-97.763168,182.79,10024.78,6.2291
30.236530,-97.763078,181.35,10042.96,6.2404
30.236593,-97.763040,180.87,10050.87,6.2453
30.236734,-97.762975,179.42,10067.97,6.2559
30.236910,-97.762843,178.46,10091.28,6.2704
30.237056,-97.762741,178.46,10110.16,6.2822
30.237243,-97.762631,178.46,10133.39,6.2966
30.237462,-97.762499,177.98,10160.68,6.3135
30.237654,-97.762389,176.54,10184.53,6.3284
30.237842,-97.762275,177.02,10208.03,6.3430
30.238001,-97.762173,177.98,10228.27,6.3555
30.238182,-97.762046,177.98,10251.76,6.3701
30.238295,-97.761966,177.02,10266.49,6.3793
30.238476,-97.761852,175.58,10290.27,6.3941
30.238667,-97.761760,173.66,10312.31,6.4078
30.238830,-97.761642,173.66,10333.60,6.4210
30.238959,-97.761578,174.14,10349.33,6.4308
30.239055,-97.761530,174.62,10360.95,6.4380
30.239194,-97.761423,175.10,10379.50,6.4495
30.239334,-97.761320,174.62,10397.91,6.4610
30.239485,-97.761225,173.66,10417.14,6.4729
30.239581,-97.761148,173.66,10429.87,6.4808
30.239693,-97.761071,175.10,10444.49,6.4899
30.239842,-97.760973,177.02,10463.44,6.5017
30.240005,-97.760878,177.50,10483.68,6.5143
30.240118,-97.760801,177.02,10498.24,6.5233
30.240247,-97.760732,177.02,10513.58,6.5328
30.240359,-97.760684,177.02,10526.81,6.5411
30.240533,-97.760612,175.58,10547.52,6.5539
30.240653,-97.760528,174.62,10563.06,6.5636
30.240817,-97.760408,173.17,10584.63,6.5770
30.240914,-97.760333,171.25,10597.45,6.5849
30.240938,-97.760310,170.77,10600.90,6.5871
30.241068,-97.760247,170.29,10616.46,6.5968
30.241172,-97.760206,169.33,10628.58,6.6043
30.241329,-97.760125,167.41,10647.79,6.6162
30.241446,-97.760045,166.45,10662.88,6.6256
30.241558,-97.759963,165.00,10677.54,6.6347
30.241754,-97.759873,165.00,10701.14,6.6494
30.241848,-97.759803,164.52,10713.35,6.6570
30.241966,-97.759704,164.04,10729.51,6.6670
30.242015,-97.759649,163.56,10737.10,6.6717
30.242166,-97.759485,161.64,10760.30,6.6861
30.242255,-97.759374,160.20,10774.69,6.6951
30.242358,-97.759174,159.72,10797.02,6.7090
30.242440,-97.759048,159.24,10812.06,6.7183
30.242553,-97.758921,158.75,10829.55,6.7292
30.242682,-97.758800,159.72,10849.51,6.7416
30.242810,-97.758738,160.20,10863.31,6.7501
30.242953,-97.758636,161.16,10881.99,6.7618
30.243129,-97.758505,162.12,10905.17,6.7762
30.243270,-97.758400,162.60,10923.74,6.7877
30.243447,-97.758284,163.08,10946.34,6.8017
